data,stayingpower,texture,smell,price,others,colour,shipping,packing,processed_data
"Hàng đúng miêu tả,mùi sô cô la thơm ,bọc đóng gói cẩn thận,có giấy cảm ơn nx",-1,-1,2,-1,-1,-1,-1,2,hàng đúng miêu tả mùi sô cô la thơm bọc đóng gói cẩn thận có giấy cảm ơn nx
"Từng mua rồi. Ok lắm mọi người, màu đẹp. Giờ mua màu khác.....",-1,-1,-1,-1,-1,2,-1,-1,từng mua rồi ok lắm mọi người màu đẹp giờ mua màu
"Tha lên môi ra màu cam , sp tuyệt vời thơmm ưng ý . Đánh giá 5 saooo",-1,-1,2,-1,-1,2,-1,-1,tha lên môi ra màu cam sp tuyệt vời thơmm ưng ý đánh giá saooo
Son đẹp cực màu sin chất son okela lắm nha mọi người đáng để mua ạ,-1,2,-1,-1,-1,2,-1,-1,son đẹp cực màu sin chất son okela lắm nha mọi người đáng để mua ạ
NAN,-1,-1,-1,-1,1,-1,-1,-1,nan
"Shop chuẩn bị hàng đủ và giao nhanh, son thơm, đánh lên xinhhh",-1,-1,2,-1,-1,-1,2,-1,shop chuẩn bị hàng đủ và giao nhanh son thơm đánh lên xinhhh
"Son lì lắm nha , son lên cảm thấy mền môi , son thơm oke :))
Son thì thơm mùi socola nha .💸",2,2,2,-1,-1,-1,-1,-1,son lì lắm nha son lên cảm thấy mền môi son thơm oke son thì thơm mùi socola nha
Son chất đẹp xĩu lun á shiper express  dễ thương có lần cho tui thiếu tiền hàng nữa :)))),-1,2,-1,-1,-1,-1,2,-1,son chất đẹp xĩu lun á shiper express dễ thương có lần cho tui thiếu tiền hàng nữa
Đẹp son lì ..................aaaaaaaaaaaaaaaaaaaaaaaaa,2,-1,-1,-1,-1,-1,-1,-1,đẹp son lì
"Giao hàng hơi chậm. Mình swatch lên tay thấy 303 vs 401 màu đều, kh biết lên môi ntn. Còn 301 thì kh đều màu cho lắm. Chất son êm, mướt, có thể thể độ bóng nhẹ khi mới swatch. Nên mình nghĩ lên môi sẽ kh bị khô đâu. 303 v 401 thì mướt hơn, còn 301 thì swatch xong hầu như tiệp ngay, kh có độ bóng.",-1,2,-1,-1,-1,1,0,-1,giao hàng hơi chậm mình swatch lên tay thấy 303 vs 401 màu đều kh biết lên môi ntn còn 301 thì kh đều màu cho lắm chất son êm mướt có thể thể độ bóng nhẹ khi mới swatch nên mình nghĩ lên môi sẽ kh bị khô đâu 303 v 401 thì mướt hơn còn 301 thì swatch xong hầu như tiệp ngay kh có độ bóng
Màu hơi nhạt so với mình tưởng và cũng và trôi hơi nhanh nhưng đang hết tiền mua cây này là chính đáng á mng ơi kakak 💕💕video và hình ảnh mang t/c lấy xu thoi ạ,0,-1,-1,2,-1,0,-1,-1,màu hơi nhạt so với mình tưởng và cũng và trôi hơi nhanh nhưng đang hết tiền mua cây này là chính đáng á mng ơi video và hình ảnh mang t c lấy xu thoi ạ
"Công dụng: Son
Kết cấu: Xốp
Độ bền màu: kém
Son màu khá đẹp, thích hợp làm base hoặc sử dụng bình thường, phù hợp với da trắng, son thơm mùi socola ngọt nhẹ. Chất son khá bột, k bám môi nên dễ trôi và bị lợn cợn nhưng do giá rẻ nên không đòi hỏi gì nhiều",0,0,2,2,-1,2,-1,-1,công dụng son kết cấu xốp bền màu kém son màu khá đẹp thích hợp làm base hoặc sử dụng bình thường phù hợp với da trắng son thơm mùi socola ngọt nhẹ chất son khá bột k bám môi nên dễ trôi và bị lợn cợn nhưng do giá rẻ nên không đòi hỏi gì nhiều
Znnsk doksbgd nkabshsud naknsgiddikd jwojwgsujd nksbshsj,-1,-1,-1,-1,1,-1,-1,-1,nkabshsud naknsgiddikd jwojwgsujd
"Đóng gói sản phẩm đẹp, chất lượng sản phẩm tốt, màu son đẹpppp",-1,-1,-1,-1,-1,2,-1,2,đóng gói sản phẩm đẹp chất lượng sản phẩm tốt màu son
"Độ bền màu: ko bee
Đánh nhanh trôii .lên màu k đẹp. Dg thấy bthg. Nạnahsnbsznmajabsb",0,-1,-1,-1,-1,0,-1,-1,bền màu ko bee đánh nhanh trôii lên màu k đẹp dg thấy
"Đặt câu hỏi￼￼

SOẠN VĂN SIÊU NGẮN, GIẢI SGK, SBT, VBT DỄ HIỂU

ĐẦY ĐỦ TẤT CẢ CÁC LỚP, CÁC MÔN

LOIGIAIHAY.COM

XEM CHI TIẾT￼

￼

￼

￼

Đua top nhận quà tháng 9/2021

Ngữ Văn

Lớp 9

20 điểm 

duonghuongduong - 15:56:22 13/09/2020

Hãy viết 1 đoạn văn khoảng 200 chữ trình bày suy nghĩ của em về vấn đ",-1,-1,-1,-1,1,-1,-1,-1,đặt câu hỏi soạn văn siêu ngắn giải sgk sbt vbt hiểu đầy tất các lớp các môn loigiaihay com xem chi tiết đua top nhận quà tháng ngữ văn lớp điểm duonghuongduong hãy viết đoạn văn khoảng 200 chữ trình bày suy nghĩ của em về vấn đ
"Đẹp, lì, nhưng mình mua nhầm thành 2 thỏi huhu nhưng cảm ơn shop nh",2,-1,-1,-1,-1,-1,-1,-1,đẹp lì nhưng mình mua nhầm thành thỏi nhưng cảm ơn shop nh
"Đã nhận đc hàng , shop gói kỉ càng chưa sử dụng nhưng cho shop 5*****😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊",-1,-1,-1,-1,-1,-1,-1,2,nhận đc hàng shop gói kỉ càng chưa sử dụng nhưng cho shop
"Hàng đẹp, son lên màu đỉnh lắm
Giao hàng nhanh 
Ưng lắm
Đợt sau mua tiếp",-1,-1,-1,-1,-1,2,2,-1,hàng đẹp son lên màu đỉnh lắm giao hàng nhanh ưng lắm đợt sau mua tiếp
"Giao hàng hơi lâu, nhưng đồ đẹp mà còn giá hạt dẻ nên okii rùi, sẽ ủng hộ tiếp",-1,-1,-1,2,-1,-1,0,-1,giao hàng hơi lâu nhưng đồ đẹp mà còn giá hạt dẻ nên okii rùi sẽ ủng hộ tiếp
"Công dụng: Mauf
Màu đẹp mua mall hàng chuẩn tem đầy đủ chất lượng son ok lắm sẽ tiếp tục ủng hộ đẹpppppooo",-1,-1,-1,-1,-1,2,-1,-1,công dụng mauf màu đẹp mua mall hàng chuẩn tem đầy đủ chất lượng son ok lắm sẽ tiếp tục ủng hộ
"Đóng gói cẩn thận, màu swash lên xinh lắm, vỏ màu cũng đẹp. Thấy mn hay review màu này. Ưng thật sự",-1,-1,-1,-1,-1,2,-1,2,đóng gói cẩn thận màu swash lên xinh lắm vỏ màu cũng đẹp thấy mn hay review màu này ưng thật sự
"waaa tuỵt ạaaaaaaaaaaaaaaaaa
mình chưa dùng thử íiiiiiiii
vd ha mang tính nhận xu ặ",-1,-1,-1,-1,1,-1,-1,-1,tuỵt mình chưa dùng thử vd ha mang tính nhận xu ặ
Son lên màu khá là oceee nhaa kh lì đâu🖤giao hàng nhanh :)))))))))))),0,-1,-1,-1,-1,2,2,-1,son lên màu khá là oceee nhaa kh lì đâugiao hàng nhanh
"Son 💄 nhỏ nhỏ xinh xinh 
Đánh lên màu đẹp hợp với da 
Giá rẻ mua 2 cây chỉ có 75k 
Đáng để mua nha mọi người
Giao hàng thì 10 ngày mình mới nhận được",-1,-1,-1,2,-1,2,0,-1,son nhỏ nhỏ xinh xinh đánh lên màu đẹp hợp với da giá rẻ mua cây chỉ có 75 k đáng để mua nha mọi người giao hàng thì ngày mình mới nhận được
"Sản phẩm ok lắm nha, hình ảnh và video mang tính chất nhận xu thôi nhé",-1,-1,-1,-1,1,-1,-1,-1,sản phẩm ok lắm nha hình ảnh và video mang tính chất nhận xu thôi nhé
"Hai màu này xin cực thích nhất màu 003 , chất son mịn mướt hdhdhd",-1,2,-1,-1,-1,2,-1,-1,hai màu này xin cực thích nhất màu 003 chất son mịn mướt
"Công dụng: cho môi xinh xẻo lên nữa
Kết cấu: k biết tả
Độ bền màu: màu đẹp mà chạm đâu dính đó
Son thơm vl luôn, tưởng đâu trét chocolate lên môi, màu đẹp vl, biết z sắm 2 thỏi này gòi, mà bay màu lẹ lắm, cũng k đòi hỏi vì đúng giá thôi",0,1,2,2,-1,2,-1,-1,công dụng cho môi xinh xẻo lên nữa kết cấu k biết tả bền màu màu đẹp mà chạm đâu dính đó son thơm vl luôn tưởng đâu trét chocolate lên môi màu đẹp vl biết z sắm thỏi này gòi mà bay màu lẹ lắm cũng k đòi hỏi vì đúng giá thôi
"Được mỗi màu đỏ đất còn rượu vang thì y như hàng cũ để lâu ngày, mùi kinh vl. Đã v còn đánh ko ra màu, nhìn vào chất son thì bột bột thấy ghê",-1,0,0,-1,-1,0,-1,-1,được mỗi màu đỏ đất còn rượu vang thì y như hàng cũ để lâu ngày mùi kinh vl v còn đánh ko ra màu nhìn vào chất son thì bột bột thấy ghê
Son mk mua màu  05 bôi lên cg thấy khá đẹp ncl tiền nào của nấy,-1,-1,-1,-1,-1,2,-1,-1,son mk mua màu bôi lên cg thấy khá đẹp ncl tiền nào của nấy
"Thỏi son xinh xinh,giao hàng khá nhanh,đóng gói sản phẩm rất đẹp",-1,-1,-1,-1,-1,-1,2,2,thỏi son xinh xinh giao hàng khá nhanh đóng gói sản phẩm rất đẹp
"Son đẹp lém, lì mịn màng ",2,2,-1,-1,-1,-1,-1,-1,son đẹp lém lì mịn màng
"Công dụng: giúp đôi môi xinh hơn
Son xinh lắm nheee màu y hình giao hàng nhanh",-1,-1,-1,-1,-1,2,2,-1,công dụng giúp đôi môi xinh hơn son xinh lắm nheee màu y hình giao hàng nhanh
Anh shipper nói chuyện dễ thương mua set 7 cái mà shop cho thêm cái lun. Sẽ ủng hộ 👍,-1,-1,-1,-1,-1,-1,2,-1,anh shipper nói chuyện dễ thương mua set cái mà shop cho thêm cái lun sẽ ủng hộ
"Chất lượnh sản phẩm tuyệt vời 
Đóng gói sản phẩm rất chu đáo
Đáng mua",-1,-1,-1,-1,-1,-1,-1,2,chất lượnh sản phẩm tuyệt vời đóng gói sản phẩm rất chu đáo đáng mua
"Son lên màuu okk, mh mua 2 thỏi được shop tặng thêm 1 thỏi sonn nè",-1,-1,-1,-1,-1,2,-1,-1,son lên màuu okk mh mua thỏi được shop tặng thêm thỏi sonn nè
"màu đẹp, giá thành phù hợp với hssv, chất son ổn. phù hợp với mọi tone da",-1,2,-1,2,-1,2,-1,-1,màu đẹp giá thành phù hợp với chất son ổn phù hợp với mọi tone da
Son rẻ lên mua giao hàng khá nhanh sau lại quay lại ủng hộ shop ạ,-1,-1,-1,2,-1,-1,2,-1,son rẻ lên mua giao hàng khá nhanh sau lại quay lại ủng hộ shop ạ
"màu đẹp với lại thơm mùi kiểu mùi kẹo nữa, đáng tiền mua lắm aaa😍",-1,-1,2,2,-1,2,-1,-1,màu đẹp với lại thơm mùi kiểu mùi kẹo nữa đáng tiền mua lắm
"Vid mang tính chất nhận xu. Son màu đẹp, swatch lên như ảnh, thơm, giá rẻ, chưa dùng lên môi nên chưa biết
🥰🙂🥺😭🥰💝😭😭😘😭🥰😭😭🥰😭❣️❣️🙂🙂❣️❣️❣️❣️🙂❣️❣️🙂🙂❣️❣️🙂❣️❣️🥰❣️🙂❣️🥰❣️🥰❣️❣️❣️❣️🥰👉🏻🙂🙂🙂👉🏻🙂👉🏻🙂",-1,-1,2,2,-1,2,-1,-1,vid mang tính chất nhận xu son màu đẹp swatch lên như ảnh thơm giá rẻ chưa dùng lên môi nên chưa biết
"Màu son rất đẹp, ngon bổ rẻ, phù hợp với túi tiền học sinh sinh viên, giá rẻ nên son cũng nhỏ thôi. Nhưng ko sao, đáng để trải nghiệm",-1,-1,-1,2,-1,2,-1,-1,màu son rất đẹp ngon bổ rẻ phù hợp với túi tiền học sinh sinh viên giá rẻ nên son cũng nhỏ thôi nhưng ko sao đáng để trải nghiệm
Son màu đẹp dễ trôiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiik,0,-1,-1,-1,-1,2,-1,-1,son màu đẹp dễ
Dù dịch nhưng giao hàng rất nhanh. 2 màu con 502 và 403 mình có test cho bạn nào tham khảo. Độ bám màu k được cao.mùi cam giác giống mùi cồn 1 chút.Nói chung với giá tiền này mà màu son cũng như chất son thì k chê vào đâu đc. Hồng đất và cam cháy nhé mn.,0,2,1,-1,-1,1,2,-1,dù dịch nhưng giao hàng rất nhanh màu con 502 và 403 mình có test cho bạn nào tham khảo bám màu k được cao mùi cam giác giống mùi cồn chút nói chung với giá tiền này mà màu son cũng như chất son thì k chê vào đâu đc hồng đất và cam cháy nhé mn
Son xinh mịn môi giao hàng nhanh vỏ son cũng xinh okkkkkkkkkkkkkkkk mình test theo thứ tự nha,-1,2,-1,-1,-1,-1,2,-1,son xinh mịn môi giao hàng nhanh vỏ son cũng xinh mình test theo thứ tự nha
Mười điểm!! Quá tuyệt vời luôn màu xinh cực kì ưng cái bụng luôn ý mà giao hàng hơi chậm,-1,-1,-1,-1,-1,2,0,-1,mười điểm quá tuyệt vời luôn màu xinh cực kì ưng cái bụng luôn ý mà giao hàng hơi chậm
Tưởng màu đậm nhưng test thử thì nhạt hơn mình nghĩ. :))) Khá ok,-1,-1,-1,-1,-1,1,-1,-1,tưởng màu đậm nhưng test thử thì nhạt hơn mình nghĩ khá ok
"Màu xinh, mình chọn màu 501 với 302, màu lên sáng da",-1,-1,-1,-1,-1,2,-1,-1,màu xinh mình chọn màu 501 với 302 màu lên sáng da
"son xinh lắm nha mng, đánh lên mềm k bị khô, màu chuẩn nhưng giao hàng lâu vì shop ở nước ngoài ",-1,2,-1,-1,-1,2,0,-1,son xinh lắm nha mng đánh lên mềm k bị khô màu chuẩn nhưng giao hàng lâu vì shop ở nước ngoài
Sản phẩm okayla lém đóng gói cẩn thận và đẹp mắt đáng để mua và sài thử 1 lần,-1,-1,-1,-1,-1,-1,-1,2,sản phẩm okayla lém đóng gói cẩn thận và đẹp mắt đáng để mua và sài thử lần
"son siêu đẹp đúng hàng
màu xinh 
hàng chính hãng
giao nhanh quá là xinh luôn
hê hê :<",-1,-1,-1,-1,-1,2,2,-1,son siêu đẹp đúng hàng màu xinh hàng chính hãng giao nhanh quá là xinh luôn hê hê
"Chất son ko như mong đợi, màu cũng ko xinh nữa, mùi cứ bị kiểu dổm dổm sao đó, mình mua sale nên có mấy nghìn th nên coi như hên xui v",-1,0,-1,2,-1,0,-1,-1,chất son ko như mong đợi màu cũng ko xinh nữa mùi cứ bị kiểu dổm dổm sao đó mình mua sale nên có mấy nghìn th nên coi như hên xui v
son đẹp mịn mướt okilaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,-1,2,-1,-1,-1,-1,-1,-1,son đẹp mịn mướt
Shop gói hàng cẩn thận và son rất xinh nhé .Nên mua nhé mọi người❤,-1,-1,-1,-1,-1,-1,-1,2,shop gói hàng cẩn thận và son rất xinh nhé nên mua nhé mọi người
Hsjasijsbsbsbsbsbsbbsnananananansnzznnanansnsnsnsnanan,-1,-1,-1,-1,1,-1,-1,-1,
"Mua của shopee mall nên khá an tâm, giá siêu rẻ. Mà son siêu lì nha, bao ăn bao uống luôn. Mình xài nay không biết cây thứ mấy rồi nhưng vẫn rất hài lòng.",2,-1,-1,2,-1,-1,-1,-1,mua của shopee mall nên khá an tâm giá siêu rẻ mà son siêu lì nha bao ăn bao uống luôn mình xài nay không biết cây thứ mấy rồi nhưng vẫn rất hài lòng
Chất lượng son tốt sẽ tiếp tục ủng hộ shopppppppppppppppppp,-1,-1,-1,-1,1,-1,-1,-1,chất lượng son tốt sẽ tiếp tục ủng hộ
"Công dụng: syhsjsnsj
Kết cấu: svdhjssk
Độ bền màu: zgsjsnsn
ZkvjzviaviaviaojlBkzvifs8gsobalsblzbpzv9sg9sgosbzlbzlvzogisgosbzlbzkvzivsosvlzbzogzogs9vslzvozvozvozg8sg8sgosbzlbzl zl zovgzozvozvlzblzbpznpzjpznpzbosv9sfgsosvpsbpzb9shs9h9",-1,-1,-1,-1,1,-1,-1,-1,công dụng kết cấu bền màu zl
"Son có vỏ rất sang, cầm chắc tay
Tuy nhiên màu này khi lên môi mình bị ngả tím khá nhiều, hơi thất vọng vì mình nghĩ màu sẽ đẹp hơn chứ khi màu lên môi mình thì bị dữ quá🤦🏻‍♀️
Mình nghĩ mn nên tham khảo V18 hơn là màu V17 này😭",-1,-1,-1,-1,-1,0,-1,-1,son có vỏ rất sang cầm chắc tay tuy nhiên màu này khi lên môi mình bị ngả tím khá nhiều hơi thất vọng vì mình nghĩ màu sẽ đẹp hơn chứ khi màu lên môi mình thì bị dữ quá mình nghĩ mn nên tham khảo v18 hơn là màu v17 này
"giao  hàng 2 tuần mới đến
nói chung cũng ổn
mẫu mã đẹp
hộp bị móp do vận chuyển
sẽ ủng hộ tiếp",-1,-1,-1,-1,-1,-1,0,-1,giao hàng tuần mới đến nói chung cũng ổn mẫu mã đẹp hộp bị móp do vận chuyển sẽ ủng hộ tiếp
"Lần thứ 2 mua, màu rất ổn cho những người da ngăm như mình, nên mua nhé",-1,-1,-1,-1,-1,2,-1,-1,lần thứ mua màu rất ổn cho những người da ngăm như mình nên mua nhé
Son đẹp nha mn chất mịn giao hàng khá nhanh nên mua ạ...........................,-1,2,-1,-1,-1,-1,2,-1,son đẹp nha mn chất mịn giao hàng khá nhanh nên mua
"Mình cảm thấy son mịn Không bị bột,nhưng màu sẽ không giống hình hoàn toàn và còn tùy vào nền môi mỗi người nha. Nên mua dùng thử nha Mn.",-1,2,-1,-1,-1,0,-1,-1,mình cảm thấy son mịn không bị bột nhưng màu sẽ không giống hình hoàn toàn và còn tùy vào nền môi mỗi người nha nên mua dùng thử nha mn
"Son giao nhanh lắm ạ, giá rẻ, tốt, cho shop 5 sao ạ. Lần sau sẽ ung hộ nữa ạ.",-1,-1,-1,2,-1,-1,2,-1,son giao nhanh lắm giá rẻ tốt cho shop sao lần sau sẽ ung hộ nữa
"Son lên màu rất xinh và chất lượng, giao đúng mẫu nhưng thời gian hơi lâu",-1,-1,-1,-1,-1,2,0,-1,son lên màu rất xinh và chất lượng giao đúng mẫu nhưng thời gian hơi lâu
